Australian Magpie	Gymnorhina tibicen	https://ebird.org/species/ausmag2/	68.13
Red Wattlebird	Anthochaera carunculata	https://ebird.org/species/redwat1/	52.79
Little Raven	Corvus mellori	https://ebird.org/species/litrav1/	48.03
Magpie-lark	Grallina cyanoleuca	https://ebird.org/species/maglar1/	44.12
Superb Fairywren	Malurus cyaneus	https://ebird.org/species/supfai1/	41.64
Welcome Swallow	Hirundo neoxena	https://ebird.org/species/welswa1/	39.51
Rainbow Lorikeet	Trichoglossus moluccanus	https://ebird.org/species/railor5/	38.1
Noisy Miner	Manorina melanocephala	https://ebird.org/species/noimin1/	33.56
Common Myna	Acridotheres tristis	https://ebird.org/species/commyn/	32.37
Common Starling	Sturnus vulgaris	https://ebird.org/species/eursta/	32.26
Pacific Black Duck	Anas superciliosa	https://ebird.org/species/pabduc1/	32.18
Common Blackbird	Turdus merula	https://ebird.org/species/eurbla/	31.77
Galah	Eolophus roseicapilla	https://ebird.org/species/galah/	29.93
Willie Wagtail	Rhipidura leucophrys	https://ebird.org/species/wilwag1/	29.14
Grey Fantail	Rhipidura albiscapa	https://ebird.org/species/gryfan1/	28.42
Spotted Dove	Spilopelia chinensis	https://ebird.org/species/spodov/	28
Sulphur-crested Cockatoo	Cacatua galerita	https://ebird.org/species/succoc/	26.64
Silver Gull	Chroicocephalus novaehollandiae	https://ebird.org/species/silgul2/	24.83
Brown Thornbill	Acanthiza pusilla	https://ebird.org/species/brotho1/	24.7
Masked Lapwing	Vanellus miles	https://ebird.org/species/maslap1/	23.91
Eastern Rosella	Platycercus eximius	https://ebird.org/species/easros1/	23.83
White-plumed Honeyeater	Ptilotula penicillata	https://ebird.org/species/whphon1/	23.27
Crested Pigeon	Ocyphaps lophotes	https://ebird.org/species/crepig1/	22.85
New Holland Honeyeater	Phylidonyris novaehollandiae	https://ebird.org/species/nehhon2/	22.42
Australian Wood Duck	Chenonetta jubata	https://ebird.org/species/manduc1/	21.8
Eurasian Coot	Fulica atra	https://ebird.org/species/eurcoo/	21.54
Grey Butcherbird	Cracticus torquatus	https://ebird.org/species/grybut1/	21.47
Grey Shrikethrush	Colluricincla harmonica	https://ebird.org/species/grysht1/	21.02
Little Pied Cormorant	Microcarbo melanoleucos	https://ebird.org/species/lipcor1/	20.95
House Sparrow	Passer domesticus	https://ebird.org/species/houspa/	20.59
Dusky Moorhen	Gallinula tenebrosa	https://ebird.org/species/dusmoo1/	20.46
Australasian Swamphen	Porphyrio melanotus	https://ebird.org/species/purswa6/	20.1
White-faced Heron	Egretta novaehollandiae	https://ebird.org/species/whfher1/	20.02
Crimson Rosella	Platycercus elegans	https://ebird.org/species/criros2/	19.99
Laughing Kookaburra	Dacelo novaeguineae	https://ebird.org/species/laukoo1/	19.61
White-browed Scrubwren	Sericornis frontalis	https://ebird.org/species/whbscr1/	19.61
Spotted Pardalote	Pardalotus punctatus	https://ebird.org/species/spopar1/	19.57
Pied Currawong	Strepera graculina	https://ebird.org/species/piecur1/	19.51
Chestnut Teal	Anas castanea	https://ebird.org/species/chetea1/	19.42
Australian White Ibis	Threskiornis molucca	https://ebird.org/species/ausibi1/	19.17
Black Swan	Cygnus atratus	https://ebird.org/species/blkswa/	17.16
Silvereye	Zosterops lateralis	https://ebird.org/species/silver3/	16.68
Grey Teal	Anas gracilis	https://ebird.org/species/gretea1/	15.69
Red-rumped Parrot	Psephotus haematonotus	https://ebird.org/species/rerpar1/	15.29
Musk Lorikeet	Glossopsitta concinna	https://ebird.org/species/muslor1/	12.88
Yellow-faced Honeyeater	Caligavis chrysops	https://ebird.org/species/yefhon1/	12.55
Striated Pardalote	Pardalotus striatus	https://ebird.org/species/strpar1/	12.53
Rock Dove	Columba livia	https://ebird.org/species/rocpig/	12.38
Black-faced Cuckooshrike	Coracina novaehollandiae	https://ebird.org/species/bkfcus1/	11.94
Little Black Cormorant	Phalacrocorax sulcirostris	https://ebird.org/species/libcor1/	11.89
Australasian Grebe	Tachybaptus novaehollandiae	https://ebird.org/species/ausgre1/	11.82
Little Wattlebird	Anthochaera chrysoptera	https://ebird.org/species/bruwat1/	11.7
Straw-necked Ibis	Threskiornis spinicollis	https://ebird.org/species/stnibi1/	10.64
Red-browed Finch	Neochmia temporalis	https://ebird.org/species/rebfir1/	10.25
Eastern Yellow Robin	Eopsaltria australis	https://ebird.org/species/yelrob1/	10.13
Australian Pelican	Pelecanus conspicillatus	https://ebird.org/species/auspel1/	10.1
Australian Raven	Corvus coronoides	https://ebird.org/species/ausrav1/	10.03
Eastern Spinebill	Acanthorhynchus tenuirostris	https://ebird.org/species/easspi1/	10.01
Long-billed Corella	Cacatua tenuirostris	https://ebird.org/species/lobcor1/	9.93
Golden Whistler	Pachycephala pectoralis	https://ebird.org/species/golwhi1/	9.89
White-throated Treecreeper	Cormobates leucophaea	https://ebird.org/species/whttre3/	9.54
Common Bronzewing	Phaps chalcoptera	https://ebird.org/species/combro1/	9.44
Yellow-rumped Thornbill	Acanthiza chrysorrhoa	https://ebird.org/species/yertho1/	9.34
Hoary-headed Grebe	Poliocephalus poliocephalus	https://ebird.org/species/hohgre1/	8.82
Rufous Whistler	Pachycephala rufiventris	https://ebird.org/species/rufwhi1/	8.2
Great Cormorant	Phalacrocorax carbo	https://ebird.org/species/grecor/	7.99
European Goldfinch	Carduelis carduelis	https://ebird.org/species/eurgol/	7.86
Little Corella	Cacatua sanguinea	https://ebird.org/species/litcor2/	7.69
Whistling Kite	Haliastur sphenurus	https://ebird.org/species/whikit1/	7.39
Australian Reed Warbler	Acrocephalus australis	https://ebird.org/species/aurwar1/	7.38
Weebill	Smicrornis brevirostris	https://ebird.org/species/weebil1/	6.84
Great Egret	Ardea alba	https://ebird.org/species/greegr/	6.64
White-winged Chough	Corcorax melanorhamphos	https://ebird.org/species/whwcho1/	6.61
White-eared Honeyeater	Nesoptilotis leucotis	https://ebird.org/species/whehon1/	6.58
Hardhead	Aythya australis	https://ebird.org/species/wheduc1/	6.4
Little Grassbird	Poodytes gramineus	https://ebird.org/species/litgra1/	6.38
Australian Shelduck	Tadorna tadornoides	https://ebird.org/species/ausshe1/	5.93
Swamp Harrier	Circus approximans	https://ebird.org/species/swahar1/	5.84
Striated Thornbill	Acanthiza lineata	https://ebird.org/species/strtho1/	5.83
Pacific Gull	Larus pacificus	https://ebird.org/species/pacgul1/	5.75
Grey Currawong	Strepera versicolor	https://ebird.org/species/grycur1/	5.72
Australian King-Parrot	Alisterus scapularis	https://ebird.org/species/aukpar1/	5.63
Pied Stilt	Himantopus leucocephalus	https://ebird.org/species/piesti1/	5.62
Brown Treecreeper	Climacteris picumnus	https://ebird.org/species/brotre2/	5.45
Crested Tern	Thalasseus bergii	https://ebird.org/species/grcter1/	5.37
White-naped Honeyeater	Melithreptus lunatus	https://ebird.org/species/whnhon2/	5.28
Brown Falcon	Falco berigora	https://ebird.org/species/brofal1/	5.25
Golden-headed Cisticola	Cisticola exilis	https://ebird.org/species/gohcis1/	5.23
Fan-tailed Cuckoo	Cacomantis flabelliformis	https://ebird.org/species/fatcuc1/	5.18
Royal Spoonbill	Platalea regia	https://ebird.org/species/royspo1/	5.1
Dusky Woodswallow	Artamus cyanopterus	https://ebird.org/species/duswoo1/	5.03
Brown-headed Honeyeater	Melithreptus brevirostris	https://ebird.org/species/brhhon1/	4.88
Yellow-tailed Black-Cockatoo	Zanda funerea	https://ebird.org/species/ytbcoc1/	4.75
Black-shouldered Kite	Elanus axillaris	https://ebird.org/species/auskit1/	4.74
White-fronted Chat	Epthianura albifrons	https://ebird.org/species/whfcha1/	4.71
Wedge-tailed Eagle	Aquila audax	https://ebird.org/species/weteag1/	4.6
Nankeen Kestrel	Falco cenchroides	https://ebird.org/species/auskes1/	4.58
Pied Cormorant	Phalacrocorax varius	https://ebird.org/species/piecor1/	4.49
Eurasian Skylark	Alauda arvensis	https://ebird.org/species/skylar/	4.46
Tree Martin	Petrochelidon nigricans	https://ebird.org/species/tremar2/	4.29
Australasian Darter	Anhinga novaehollandiae	https://ebird.org/species/darter4/	4.26
Yellow Thornbill	Acanthiza nana	https://ebird.org/species/yeltho1/	4.24
Black-fronted Dotterel	Charadrius melanops	https://ebird.org/species/blfdot1/	4.1
Bell Miner	Manorina melanophrys	https://ebird.org/species/belmin1/	4.05
Australian Pied Oystercatcher	Haematopus longirostris	https://ebird.org/species/pieoys1/	4.04
Sacred Kingfisher	Todiramphus sanctus	https://ebird.org/species/sackin1/	4.04
Singing Honeyeater	Gavicalis virescens	https://ebird.org/species/sinhon1/	3.99
Australian Pipit	Anthus australis	https://ebird.org/species/auspip2/	3.97
