Australian Rufous Fantail	Rhipidura rufifrons	https://ebird.org/species/ruffan13/	1.1
Plumed Egret	Ardea plumifera	https://ebird.org/species/integr2/	0.2626
Australian Tern	Gelochelidon macrotarsa	https://ebird.org/species/gubter3/	0.209
Indian Yellow-nosed Albatross	Thalassarche carteri	https://ebird.org/species/yenalb3/	0.11
Gull-billed Tern	Gelochelidon nilotica	https://ebird.org/species/gubter2/	0.0582
Antipodean Albatross	Diomedea antipodensis	https://ebird.org/species/antalb1/	0.0375
Snowy Albatross	Diomedea exulans	https://ebird.org/species/wanalb1/	0.0261
Northern Royal Albatross	Diomedea sanfordi	https://ebird.org/species/royalb3/	0.0243
American Golden-Plover	Pluvialis dominica	https://ebird.org/species/amgplo/	0.0232
Southern Royal Albatross	Diomedea epomophora	https://ebird.org/species/royalb2/	0.0181
Siberian Sand-Plover	Anarhynchus mongolus	https://ebird.org/species/lessap2/	0.0145
Westland Petrel	Procellaria westlandica	https://ebird.org/species/wespet1/	0.003
