[sound:ebird2anki-eurcoo-538473.mp3];🎵;Eurasian Coot;Fulica atra;<img src="ebird2anki-eurcoo-44601571.jpg">
<img src="ebird2anki-dusmoo1-122302361.jpg">;;Dusky Moorhen;Gallinula tenebrosa;[sound:ebird2anki-dusmoo1-538469.mp3]
[sound:ebird2anki-ausmag2-538124.mp3];🎵;Australian Magpie;Gymnorhina tibicen;<img src="ebird2anki-ausmag2-117501191.jpg">
<img src="ebird2anki-eursta-67454971.jpg">;;Common Starling;Sturnus vulgaris;[sound:ebird2anki-eursta-543799.mp3]
[sound:ebird2anki-gryfan1-539152.mp3];🎵;Grey Fantail;Rhipidura albiscapa;<img src="ebird2anki-gryfan1-125802171.jpg">
[sound:ebird2anki-eurcoo-538472.mp3];🎵;Eurasian Coot;Fulica atra;<img src="ebird2anki-eurcoo-44601551.jpg">
<img src="ebird2anki-eurbla-44584641.jpg">;;Common Blackbird;Turdus merula;[sound:ebird2anki-eurbla-527798.mp3]
<img src="ebird2anki-eursta-303929291.jpg">;;Common Starling;Sturnus vulgaris;[sound:ebird2anki-eursta-527808.mp3]
[sound:ebird2anki-eursta-550262.mp3];🎵;Common Starling;Sturnus vulgaris;<img src="ebird2anki-eursta-303929131.jpg">
<img src="ebird2anki-eursta-303929801.jpg">;;Common Starling;Sturnus vulgaris;[sound:ebird2anki-eursta-543797.mp3]
<img src="ebird2anki-eursta-303929131.jpg">;;Common Starling;Sturnus vulgaris;[sound:ebird2anki-eursta-543795.mp3]
[sound:ebird2anki-eursta-527808.mp3];🎵;Common Starling;Sturnus vulgaris;<img src="ebird2anki-eursta-303929531.jpg">
<img src="ebird2anki-eurbla-44584661.jpg">;;Common Blackbird;Turdus merula;[sound:ebird2anki-eurbla-539284.mp3]
<img src="ebird2anki-galah-122706041.jpg">;;Galah;Eolophus roseicapilla;[sound:ebird2anki-galah-538601.mp3]
<img src="ebird2anki-galah-122706051.jpg">;;Galah;Eolophus roseicapilla;[sound:ebird2anki-galah-538602.mp3]
<img src="ebird2anki-ausmag2-117501231.jpg">;;Australian Magpie;Gymnorhina tibicen;[sound:ebird2anki-ausmag2-538120.mp3]
[sound:ebird2anki-gryfan1-539155.mp3];🎵;Grey Fantail;Rhipidura albiscapa;<img src="ebird2anki-gryfan1-125802181.jpg">
[sound:ebird2anki-bkfcus1-539052.mp3];🎵;Black-faced Cuckooshrike;Coracina novaehollandiae;<img src="ebird2anki-bkfcus1-125783211.jpg">
<img src="ebird2anki-ausmag2-117501191.jpg">;;Australian Magpie;Gymnorhina tibicen;[sound:ebird2anki-ausmag2-538125.mp3]
[sound:ebird2anki-galah-538603.mp3];🎵;Galah;Eolophus roseicapilla;<img src="ebird2anki-galah-122706101.jpg">
<img src="ebird2anki-eurbla-44584631.jpg">;;Common Blackbird;Turdus merula;[sound:ebird2anki-eurbla-527799.mp3]
[sound:ebird2anki-eursta-543797.mp3];🎵;Common Starling;Sturnus vulgaris;<img src="ebird2anki-eursta-303929861.jpg">
<img src="ebird2anki-ausmag2-117501201.jpg">;;Australian Magpie;Gymnorhina tibicen;[sound:ebird2anki-ausmag2-538121.mp3]
[sound:ebird2anki-houspa-550467.mp3];🎵;House Sparrow;Passer domesticus;<img src="ebird2anki-houspa-305877321.jpg">
<img src="ebird2anki-eurcoo-44601581.jpg">;;Eurasian Coot;Fulica atra;[sound:ebird2anki-eurcoo-538472.mp3]
[sound:ebird2anki-eurcoo-538471.mp3];🎵;Eurasian Coot;Fulica atra;<img src="ebird2anki-eurcoo-44601591.jpg">
[sound:ebird2anki-ausmag2-538122.mp3];🎵;Australian Magpie;Gymnorhina tibicen;<img src="ebird2anki-ausmag2-117501251.jpg">
[sound:ebird2anki-gryfan1-539148.mp3];🎵;Grey Fantail;Rhipidura albiscapa;<img src="ebird2anki-gryfan1-125802151.jpg">
[sound:ebird2anki-gryfan1-539151.mp3];🎵;Grey Fantail;Rhipidura albiscapa;<img src="ebird2anki-gryfan1-125802141.jpg">
[sound:ebird2anki-eurbla-539284.mp3];🎵;Common Blackbird;Turdus merula;<img src="ebird2anki-eurbla-44584631.jpg">
[sound:ebird2anki-eursta-543799.mp3];🎵;Common Starling;Sturnus vulgaris;<img src="ebird2anki-eursta-67455011.jpg">
[sound:ebird2anki-eursta-550263.mp3];🎵;Common Starling;Sturnus vulgaris;<img src="ebird2anki-eursta-303928891.jpg">
