[sound:ebird2anki-ruffan13-539143.mp3];🎵;Australian Rufous Fantail;Rhipidura rufifrons;<img src="ebird2anki-ruffan13-125800551.jpg">
<img src="ebird2anki-ruffan13-125800561.jpg">;;Australian Rufous Fantail;Rhipidura rufifrons;[sound:ebird2anki-ruffan13-539145.mp3]
[sound:ebird2anki-ruffan13-539144.mp3];🎵;Australian Rufous Fantail;Rhipidura rufifrons;<img src="ebird2anki-ruffan13-125800561.jpg">
<img src="ebird2anki-integr2-609472197.jpg">;;Plumed Egret;Ardea plumifera;[No audio recording on eBird]
<img src="ebird2anki-gubter3-609497171.jpg">;;Australian Tern;Gelochelidon macrotarsa;[No audio recording on eBird]
<img src="ebird2anki-gubter3-609497168.jpg">;;Australian Tern;Gelochelidon macrotarsa;[No audio recording on eBird]
<img src="ebird2anki-integr2-122698511.jpg">;;Plumed Egret;Ardea plumifera;[No audio recording on eBird]
[sound:ebird2anki-ruffan13-539145.mp3];🎵;Australian Rufous Fantail;Rhipidura rufifrons;<img src="ebird2anki-ruffan13-125800581.jpg">
<img src="ebird2anki-integr2-122698521.jpg">;;Plumed Egret;Ardea plumifera;[No audio recording on eBird]
<img src="ebird2anki-ruffan13-125800581.jpg">;;Australian Rufous Fantail;Rhipidura rufifrons;[sound:ebird2anki-ruffan13-539143.mp3]
<img src="ebird2anki-ruffan13-125800571.jpg">;;Australian Rufous Fantail;Rhipidura rufifrons;[sound:ebird2anki-ruffan13-539143.mp3]
<img src="ebird2anki-integr2-609472198.jpg">;;Plumed Egret;Ardea plumifera;[No audio recording on eBird]
<img src="ebird2anki-gubter3-609497166.jpg">;;Australian Tern;Gelochelidon macrotarsa;[No audio recording on eBird]
<img src="ebird2anki-gubter3-609497169.jpg">;;Australian Tern;Gelochelidon macrotarsa;[No audio recording on eBird]
<img src="ebird2anki-gubter2-609496610.jpg">;;Gull-billed Tern;Gelochelidon nilotica;[sound:ebird2anki-gubter2-548904.mp3]
<img src="ebird2anki-ruffan13-125800551.jpg">;;Australian Rufous Fantail;Rhipidura rufifrons;[sound:ebird2anki-ruffan13-539144.mp3]
<img src="ebird2anki-antalb1-609862742.jpg">;;Antipodean Albatross;Diomedea antipodensis;[sound:ebird2anki-antalb1-544461.mp3]
<img src="ebird2anki-gubter3-617183399.jpg">;;Australian Tern;Gelochelidon macrotarsa;[No audio recording on eBird]
<img src="ebird2anki-gubter3-617183392.jpg">;;Australian Tern;Gelochelidon macrotarsa;[No audio recording on eBird]
<img src="ebird2anki-integr2-609472196.jpg">;;Plumed Egret;Ardea plumifera;[No audio recording on eBird]
<img src="ebird2anki-yenalb3-609720987.jpg">;;Indian Yellow-nosed Albatross;Thalassarche carteri;[No audio recording on eBird]
<img src="ebird2anki-gubter2-308387671.jpg">;;Gull-billed Tern;Gelochelidon nilotica;[sound:ebird2anki-gubter2-548904.mp3]
<img src="ebird2anki-gubter2-308387571.jpg">;;Gull-billed Tern;Gelochelidon nilotica;[sound:ebird2anki-gubter2-535360.mp3]
<img src="ebird2anki-antalb1-609862748.jpg">;;Antipodean Albatross;Diomedea antipodensis;[sound:ebird2anki-antalb1-544460.mp3]
<img src="ebird2anki-gubter3-609497165.jpg">;;Australian Tern;Gelochelidon macrotarsa;[No audio recording on eBird]
<img src="ebird2anki-yenalb3-609720983.jpg">;;Indian Yellow-nosed Albatross;Thalassarche carteri;[No audio recording on eBird]
[sound:ebird2anki-gubter2-535360.mp3];🎵;Gull-billed Tern;Gelochelidon nilotica;<img src="ebird2anki-gubter2-308387831.jpg">
<img src="ebird2anki-yenalb3-609720985.jpg">;;Indian Yellow-nosed Albatross;Thalassarche carteri;[No audio recording on eBird]
<img src="ebird2anki-antalb1-609862751.jpg">;;Antipodean Albatross;Diomedea antipodensis;[sound:ebird2anki-antalb1-544460.mp3]
<img src="ebird2anki-gubter2-308387831.jpg">;;Gull-billed Tern;Gelochelidon nilotica;[sound:ebird2anki-gubter2-535361.mp3]
<img src="ebird2anki-yenalb3-609720986.jpg">;;Indian Yellow-nosed Albatross;Thalassarche carteri;[No audio recording on eBird]
<img src="ebird2anki-gubter2-308387541.jpg">;;Gull-billed Tern;Gelochelidon nilotica;[sound:ebird2anki-gubter2-535361.mp3]
<img src="ebird2anki-gubter3-308387551.jpg">;;Australian Tern;Gelochelidon macrotarsa;[No audio recording on eBird]
<img src="ebird2anki-gubter3-169897771.jpg">;;Australian Tern;Gelochelidon macrotarsa;[No audio recording on eBird]
<img src="ebird2anki-antalb1-609862745.jpg">;;Antipodean Albatross;Diomedea antipodensis;[sound:ebird2anki-antalb1-544461.mp3]
<img src="ebird2anki-gubter2-261484601.jpg">;;Gull-billed Tern;Gelochelidon nilotica;[sound:ebird2anki-gubter2-535360.mp3]
<img src="ebird2anki-antalb1-609862749.jpg">;;Antipodean Albatross;Diomedea antipodensis;[sound:ebird2anki-antalb1-544461.mp3]
[sound:ebird2anki-gubter2-548904.mp3];🎵;Gull-billed Tern;Gelochelidon nilotica;<img src="ebird2anki-gubter2-308387571.jpg">
<img src="ebird2anki-antalb1-609862744.jpg">;;Antipodean Albatross;Diomedea antipodensis;[sound:ebird2anki-antalb1-544460.mp3]
